OTU;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30;s31;s32;s33;s34;s35;s36;s37;s38;s39;s40;s41;s42;s43;s44;s45;s13;s46;s47;s48;s49;s50;s51;s52;s53;s54;s55;s56;s57;s58;s59;s60;s61;s62;s63;s64;s65;s66;s67;s68;s69;s70;s71;s72;s73;s74;s75;s76;s77;s78;s79;s80;s81;s82;s83;s84;s85;s86;s87;s88;s89;s90;s91;s92;s93;s94;s95;s96;s97;s98;s99;s100;s101;s102;s103;s104;s105;s106;s107;s108;s109;s110
Otu00001;539;7096;86;40;3593;46;107;26;147;139;171;72;8970;154;78;178;44;403;184;64;238;280;94;0;3160;286;1329;544;3437;1503;4819;3482;1141;4532;2354;2694;5940;5540;306;2315;3918;4190;349;9272;9132;3485;911;439;287;2026;4424;369;1394;482;740;1243;1609;361;2028;659;55;196;90;1529;576;336;62;2268;47;1642;68;109;138;76;1595;3768;81;954;94;159;2635;116;1034;59;1568;46;1362;234;107;5424;757;793;564;6148;5545;116;11171;7918;8053;376;341;329;1639;1614;1637;5922;4926;7019;876;82
Otu00002;558;6674;119;1080;369;201;730;328;811;310;365;4385;2142;77;6699;157;137;384;329;388;4943;284;335;0;0;55;20;6512;14655;178;134;9240;181;18784;53;45;71;17134;151;40;44;11745;18;82;201;91;418;18;89;2;2041;91;105;410;97;6666;119;1252;2253;195;131;31;211;1073;6350;61;205;55;178;16;159;587;7631;179;16;1196;8125;333;122;44;542;697;104;10092;1601;7288;1123;601;90;254;434;273;61;4838;106;103;266;212;180;83;174;77;48;110;74;2733;2092;3814;176;487
Otu00003;186;5365;425;202;424;502;16;418;447;355;465;1001;13759;44;454;183;91;79;44;64;397;146;119;0;163;260;201;341;91;266;112;642;1877;146;193;522;137;243;248;1323;2580;793;190;378;270;341;228;575;418;780;9414;317;385;413;262;12427;1098;64;12664;196;29;534;91;11084;5664;398;224;25;23;199;234;376;4233;141;256;8771;1845;165;18;322;14410;295;316;1139;1275;489;355;351;264;242;484;328;175;3585;185;91;392;585;503;262;337;311;782;560;559;6417;5388;6932;438;273
Otu00004;278;174;1407;146;81;264;56;646;643;1094;490;57;66;46;433;1658;1058;169;60;192;183;1070;1203;54;538;1016;855;327;29;322;47;78;5044;19;940;5359;273;14;3077;4971;1422;7;1360;78;167;494;297;2850;2505;4162;28;4473;620;362;1243;393;2953;180;37;488;152;1335;2605;41;17;3491;2667;349;207;1043;1517;2489;74;1722;4499;105;145;340;49;4846;792;2248;756;583;655;340;159;2612;10123;256;2321;3578;3009;527;690;1608;394;298;290;2517;2982;2069;5938;6474;6466;295;214;353;222;1920
Otu00005;706;1650;128;974;263;383;818;1154;2142;76;1358;547;2330;515;983;343;144;1214;1102;577;533;514;251;119;303;341;874;406;836;1883;551;1081;486;547;517;263;413;836;906;664;1604;1175;933;3619;2809;1189;662;526;399;1304;3603;585;1397;2197;417;1298;1492;1993;3617;913;271;657;201;3466;926;1397;255;503;228;696;145;149;873;120;928;3615;609;920;569;1587;3349;73;3724;372;481;752;2102;122;761;1476;581;633;59;1687;479;138;3497;1839;2956;368;357;277;196;268;245;592;653;592;1277;98
Otu00006;0;4273;0;3;8;0;0;1;0;0;2;37;8334;73;24;2;0;8;33;0;13;3;2;0;0;2;8;3;114;19;11;2924;165;413;36;240;638;2036;90;57;465;3415;66;728;292;46;86;30;34;41;6076;29;37;52;5;6384;22;0;4257;61;16;69;9;5092;3873;95;12;69;4;58;8;3;2658;2;63;5406;989;0;9;24;6677;0;49;413;392;100;1;2;21;231;159;79;55;6428;209;21;186;109;119;26;31;42;48;52;46;4722;5048;7302;39;1
Otu00007;2322;641;148;889;364;798;655;493;220;441;195;111;6;4999;205;187;584;156;253;222;49;541;1295;4;85;296;113;698;18;179;323;1653;603;1450;750;30;3233;172;137;136;196;23;57;3908;4174;325;240;166;651;2;382;275;119;123;1408;390;68;1467;343;185;472;288;483;257;17;33;80;199;367;49;161;241;18;18;62;383;64;1400;1222;1327;590;723;2245;1819;437;6432;4893;1340;170;6122;214;84;3;1734;761;241;761;732;660;113;118;118;17;31;11;2089;426;655;292;124
Otu00008;3814;13;29;309;704;337;4904;2755;2687;24;3175;9;0;2027;216;102;471;2635;2520;2245;183;176;544;0;130;20;105;13;11;675;3025;229;98;275;35;15;1054;145;14;1;41;189;20;444;492;412;238;4;14;0;0;6;243;230;33;11;16;3324;4;1769;2608;422;362;238;246;59;268;3674;6284;1248;230;683;83;81;215;40;106;2314;4649;1299;807;247;3226;18;281;19;1454;112;20;223;53;4;2;9;730;18;123;123;92;11;5;4;0;3;0;0;1;3;1026;219
Otu00009;657;844;827;223;113;193;34;336;954;1247;772;2645;44;42;2987;359;370;450;179;567;2990;970;734;151;181;824;163;4347;372;1208;117;74;294;309;61;87;20;24;210;461;65;4;82;30;76;50;168;35;394;76;162;298;82;111;221;97;175;227;1194;208;197;142;265;312;476;249;226;190;245;273;498;1443;1444;415;147;76;2265;389;78;368;73;945;100;3254;598;3042;395;818;187;629;652;713;245;742;310;184;849;459;426;288;365;237;327;313;329;674;218;455;1242;792
Otu00010;1241;4;61;481;1019;745;1825;1032;649;55;597;3;1;3155;15;100;147;749;1438;741;27;230;291;64;86;120;172;3;57;768;2179;171;126;130;131;78;1816;15;23;30;79;160;83;910;786;1005;554;36;27;15;0;23;1262;1093;87;10;43;1286;2;961;797;192;71;112;10;194;95;2684;1743;432;206;325;11;161;267;25;9;647;3349;1189;221;139;3190;3;159;0;932;256;23;719;98;55;50;5;1368;40;720;550;430;55;72;74;10;12;13;0;96;1;877;346
