Samples,Dates,Tranche,Localisation
s1,16/03/2015,t3,eau
s2,16/03/2015,t2,eau
s3,29/03/2015,t4,beton_bc
s4,18/05/2015,t3,eau
s5,18/05/2015,t2,eau
s6,28/09/2015,t3,eau
s7,28/09/2015,t2,eau
s8,07/12/2015,t3,eau
s9,07/12/2016,t2,eau
s10,07/12/2016,t4,beton_bf
s11,07/12/2016,t4,eau
s12,07/12/2016,t4,packing
s14,20/01/2017,t1,eau
s15,15/02/2017,t4,packing
s16,15/02/2017,t4,beton_bc
s17,15/02/2017,t2,beton_bc
s18,15/02/2017,t4,eau
s19,15/02/2017,t1,eau
s20,15/02/2017,t2,eau
s21,15/02/2017,t4,packing
s22,15/02/2017,t4,beton_bf
s23,15/02/2017,t2,beton_bf
s24,15/02/2017,t4,beton_bc
s25,15/03/2017,t1,beton_bc
s26,15/03/2017,t4,beton_bf
s27,15/03/2017,t1,beton_bf
s28,15/03/2017,t4,packing
s29,15/03/2017,t1,packing
s30,16/03/2017,t4,eau
s31,16/03/2017,t1,eau
s32,19/04/2017,t1,packing
s33,19/04/2017,t4,beton_bf
s34,19/04/2017,t4,packing
s35,19/04/2017,t1,beton_bc
s36,19/04/2017,t4,beton_bc
s37,20/04/2017,t4,eau
s38,17/05/2017,t4,packing
s39,17/05/2017,t4,beton_bf
s40,17/05/2017,t4,beton_bc
s41,17/05/2017,t1,beton_bc
s42,17/05/2017,t1,packing
s43,17/05/2017,t1,beton_bf
s44,18/05/2017,t1,eau
s45,18/05/2017,t4,eau
s13,12/10/2017,t3,packing
s46,12/10/2017,t2,eau
s47,12/10/2017,t3,eau
s48,12/10/2017,t2,beton_bf
s49,12/10/2017,t3,beton_bf
s50,12/10/2017,t2,beton_bc
s51,12/10/2017,t2,packing
s52,12/10/2017,t3,beton_bc
s53,16/11/2017,t2,eau
s54,16/11/2017,t4,eau
s55,16/11/2017,t2,beton_bf
s56,16/11/2017,t4,packing
s57,16/11/2017,t2,beton_bc
s58,16/11/2017,t4,beton_bc
s59,16/11/2017,t2,packing
s60,14/12/2017,t2,eau
s61,14/12/2017,t4,eau
s62,14/12/2017,t2,beton_bf
s63,14/12/2017,t4,beton_bf
s64,14/12/2017,t2,packing
s65,14/12/2017,t4,packing
s66,14/12/2017,t2,beton_bc
s67,14/12/2017,t4,beton_bc
s68,17/01/2018,t2,eau
s69,17/01/2018,t4,eau
s70,17/01/2018,t2,beton_bf
s71,17/01/2018,t4,beton_bf
s72,17/01/2018,t2,packing
s73,17/01/2018,t4,packing
s74,17/01/2018,t4,beton_bc
s75,17/01/2018,t2,beton_bc
s76,21/02/2018,t4,beton_bf
s77,21/02/2018,t4,packing
s78,19/03/2018,t4,eau
s79,29/03/2018,t2,eau
s80,29/03/2018,t2,beton_bf
s81,29/03/2018,t2,packing
s82,29/03/2018,t4,beton_bf
s83,29/03/2018,t2,beton_bc
s84,29/03/2018,t4,packing
s85,18/04/2018,t4,beton_bc
s86,18/04/2018,t4,packing
s87,18/04/2018,t4,eau
s88,18/04/2018,t4,beton_bf
s89,07/05/2018,t4,eau
s90,17/05/2018,t4,eau
s91,17/05/2018,t4,beton_bf
s92,17/05/2018,t4,beton_bc
s93,13/06/2018,t4,beton_bc
s94,13/06/2018,t4,packing
s95,13/06/2018,t4,eau
s96,13/06/2018,t4,beton_bf
s97,04/07/2018,t4,eau
s98,04/07/2018,t4,eau
s99,04/07/2018,t4,eau
s100,04/07/2018,t4,beton_bf
s101,04/07/2018,t4,beton_bf
s102,04/07/2018,t4,beton_bf
s103,04/07/2018,t4,beton_bc
s104,04/07/2018,t4,beton_bc
s105,04/07/2018,t4,beton_bc
s106,04/07/2018,t4,packing
s107,04/07/2018,t4,packing
s108,04/07/2018,t4,packing
s109,16/03/2017,t4,eau
s110,21/02/2018,t4,beton_bf
